key,method,pca_components,neighbors,min_dist,seed,trustworthiness,knn_overlap,distance_spearman,population_silhouette,super_population_silhouette,outlier_jaccard,seed_disparity
pca_d50_s2024,PCA,50,,,2024,0.867383305882964,0.0492545260915868,0.9152198768065943,-0.13179273903369904,0.5324015617370605,0.07692307692307693,
tsne_d50_s2024,t-SNE,50,,,2024,0.9550786080709666,0.27670394036208734,0.6619537240016228,-0.07382950186729431,0.5846132636070251,0.13513513513513514,
umap_d10_s2024_n5_m0,UMAP,10,5.0,0.0,2024,0.9804243882903034,0.40899893503727364,0.533442328602312,-0.08790472894906998,0.6134585738182068,0.125,0.07105706530686724
umap_d10_s2025_n5_m0,UMAP,10,5.0,0.0,2025,0.9801585983184663,0.4082268370607029,0.5338797019326325,-0.0825759619474411,0.6407947540283203,0.13513513513513514,0.07105706530686724
umap_d10_s2026_n5_m0,UMAP,10,5.0,0.0,2026,0.9801768413317142,0.4062300319488818,0.6521296890244738,-0.08595665544271469,0.6291564702987671,0.13513513513513514,0.07105706530686724
umap_d10_s2024_n5_m0.1,UMAP,10,5.0,0.1,2024,0.9780384918994582,0.39930777422790203,0.5923786898338794,-0.07879088819026947,0.6092140078544617,0.13513513513513514,0.040553289020959934
umap_d10_s2025_n5_m0.1,UMAP,10,5.0,0.1,2025,0.9777206878774962,0.3943290734824281,0.6195155950871039,-0.07690925151109695,0.6202985644340515,0.125,0.040553289020959934
umap_d10_s2026_n5_m0.1,UMAP,10,5.0,0.1,2026,0.9782282728931573,0.4005324813631523,0.5715132383383239,-0.07305777817964554,0.6172361373901367,0.1559633027522936,0.040553289020959934
umap_d10_s2024_n5_m0.5,UMAP,10,5.0,0.5,2024,0.9703194544781018,0.34781682641107564,0.5319345350208108,-0.06793253123760223,0.5418336987495422,0.13513513513513514,0.07079691052058074
umap_d10_s2025_n5_m0.5,UMAP,10,5.0,0.5,2025,0.9707859712515866,0.3503993610223642,0.5824936846300286,-0.071091428399086,0.563704788684845,0.13513513513513514,0.07079691052058074
umap_d10_s2026_n5_m0.5,UMAP,10,5.0,0.5,2026,0.971238376517765,0.35194355697550583,0.6114094562026874,-0.06992094218730927,0.5374401211738586,0.10526315789473684,0.07079691052058074
umap_d10_s2024_n15_m0,UMAP,10,15.0,0.0,2024,0.978494009209073,0.39869542066027686,0.5601164515386777,-0.0924118235707283,0.6891597509384155,0.14545454545454545,0.04488285675793285
umap_d10_s2025_n15_m0,UMAP,10,15.0,0.0,2025,0.978902159071349,0.39944089456869014,0.5329442350367871,-0.09229890257120132,0.6820985078811646,0.1559633027522936,0.04488285675793285
umap_d10_s2026_n15_m0,UMAP,10,15.0,0.0,2026,0.9778833297061931,0.39547390841320557,0.543348258846814,-0.09555394947528839,0.6828134655952454,0.16666666666666666,0.04488285675793285
umap_d10_s2024_n15_m0.1,UMAP,10,15.0,0.1,2024,0.9771566139078723,0.38873801916932904,0.5301803489917282,-0.08622720837593079,0.6661407947540283,0.13513513513513514,0.05775750733958862
umap_d10_s2025_n15_m0.1,UMAP,10,15.0,0.1,2025,0.9771979289672866,0.3889510117145899,0.6336240990350405,-0.08364736288785934,0.6526952981948853,0.1559633027522936,0.05775750733958862
umap_d10_s2026_n15_m0.1,UMAP,10,15.0,0.1,2026,0.9765981952723554,0.38572949946751867,0.49039124660578376,-0.08605390042066574,0.6660299897193909,0.14545454545454545,0.05775750733958862
umap_d10_s2024_n15_m0.5,UMAP,10,15.0,0.5,2024,0.9694169833439142,0.3291267305644303,0.5209231518625784,-0.07185788452625275,0.6011337637901306,0.14545454545454545,0.10660460364303635
umap_d10_s2025_n15_m0.5,UMAP,10,15.0,0.5,2025,0.9696545395699542,0.3328274760383387,0.5422519317552116,-0.07328689098358154,0.5777867436408997,0.13513513513513514,0.10660460364303635
